record_id,pmid,doi,title,authors,year,abstract,source_db,duplicate_of
R0186,30000037,10.1000/demo.2019.0037,Trial factor outcome safety malignancy therapy ii clinical solid tumour,Kim et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 53 patients. Results: The primary endpoint was met with p=0.025. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0037
R0213,30000064,10.1000/demo.2017.0064,Response clinical ii chemotherapy efficacy immunotherapy,Thompson et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 254 patients. Results: The primary endpoint was met with p=0.013. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0064
R0226,30000077,10.1000/demo.2016.0077,Safety targeted survival x expression response,Anderson et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 492 patients. Results: The primary endpoint was met with p=0.004. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0077
R0233,30000084,10.1000/demo.2017.0084,Clinical combination cohort resistance treatment phase response,Clark et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 497 patients. Results: The primary endpoint was met with p=0.083. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0084
R0210,30000061,10.1000/demo.2024.0061,Chemotherapy efficacy x safety solid targeted,Taylor et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 165 patients. Results: The primary endpoint was met with p=0.066. Conclusions: TF-X inhibition shows promise in CRC.,Europe PMC,R0061
R0239,30000090,10.1000/demo.2022.0090,X therapy cohort combination targeted outcome transcription analysis,Lewis et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 127 patients. Results: The primary endpoint was met with p=0.097. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0090
R0218,30000069,10.1000/demo.2024.0069,Targeted expression safety transcription solid phase combination tumour ii,Sato et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 480 patients. Results: The primary endpoint was met with p=0.070. Conclusions: TF-X inhibition shows promise in NSCLC.,Europe PMC,R0069
R0151,30000002,10.1000/demo.2023.0002,Combination solid survival targeted outcome treatment,Anderson et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 142 patients. Results: The primary endpoint was met with p=0.045. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0002
R0163,30000014,10.1000/demo.2018.0014,Safety efficacy survival solid outcome ii analysis therapy targeted cohort,Kobayashi et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 490 patients. Results: The primary endpoint was met with p=0.052. Conclusions: TF-X inhibition shows promise in NSCLC.,Europe PMC,R0014
R0205,30000056,10.1000/demo.2018.0056,Trial x efficacy combination safety survival response,Martinez et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 140 patients. Results: The primary endpoint was met with p=0.074. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0056
R0167,30000018,10.1000/demo.2018.0018,Combination expression tumour biomarker response phase patient,Patel et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 477 patients. Results: The primary endpoint was met with p=0.092. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0018
R0183,30000034,10.1000/demo.2020.0034,Therapy trial chemotherapy patient treatment x,Brown et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 289 patients. Results: The primary endpoint was met with p=0.032. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0034
R0196,30000047,10.1000/demo.2015.0047,Targeted factor safety treatment transcription inhibition malignancy,Hall et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 459 patients. Results: The primary endpoint was met with p=0.003. Conclusions: TF-X inhibition shows promise in CRC.,Europe PMC,R0047
R0201,30000052,10.1000/demo.2020.0052,Outcome factor phase expression malignancy clinical immunotherapy,Thompson et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 202 patients. Results: The primary endpoint was met with p=0.004. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0052
R0227,30000078,10.1000/demo.2019.0078,Biomarker tumour malignancy resistance treatment immunotherapy therapy response,Garcia et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 119 patients. Results: The primary endpoint was met with p=0.009. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0078
R0155,30000006,10.1000/demo.2024.0006,Combination efficacy malignancy response expression analysis phase,Chen et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 380 patients. Results: The primary endpoint was met with p=0.033. Conclusions: TF-X inhibition shows promise in NSCLC.,Europe PMC,R0006
R0237,30000088,10.1000/demo.2017.0088,Ii pathway x outcome malignancy combination,Müller et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 228 patients. Results: The primary endpoint was met with p=0.046. Conclusions: TF-X inhibition shows promise in RCC.,Europe PMC,R0088
R0156,30000007,10.1000/demo.2015.0007,Analysis phase factor solid immunotherapy survival trial clinical,Anderson et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 232 patients. Results: The primary endpoint was met with p=0.089. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0007
R0221,30000072,10.1000/demo.2021.0072,Resistance efficacy tumour factor phase biomarker trial treatment safety inhibition,Silva et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 401 patients. Results: The primary endpoint was met with p=0.031. Conclusions: TF-X inhibition shows promise in RCC.,Europe PMC,R0072
R0174,30000025,10.1000/demo.2024.0025,Inhibition therapy outcome combination ii patient x tumour phase survival,Taylor et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 410 patients. Results: The primary endpoint was met with p=0.056. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0025
R0225,30000076,10.1000/demo.2024.0076,Targeted factor trial therapy combination analysis outcome treatment pathway,Nakamura et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 346 patients. Results: The primary endpoint was met with p=0.008. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0076
R0234,30000085,10.1000/demo.2020.0085,Expression factor tumour safety malignancy therapy,Yamamoto et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 463 patients. Results: The primary endpoint was met with p=0.081. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0085
R0159,30000010,10.1000/demo.2022.0010,Combination patient inhibition therapy efficacy x clinical treatment,Allen et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 423 patients. Results: The primary endpoint was met with p=0.064. Conclusions: TF-X inhibition shows promise in NSCLC.,Europe PMC,R0010
R0199,30000050,10.1000/demo.2016.0050,Clinical transcription cohort combination biomarker therapy outcome factor resistance trial,Allen et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 464 patients. Results: The primary endpoint was met with p=0.043. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0050
R0214,30000065,10.1000/demo.2019.0065,Pathway expression factor chemotherapy transcription biomarker trial clinical phase inhibition,Watanabe et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 147 patients. Results: The primary endpoint was met with p=0.096. Conclusions: TF-X inhibition shows promise in RCC.,Europe PMC,R0065
R0207,30000058,10.1000/demo.2015.0058,Survival tumour targeted safety pathway x inhibition immunotherapy,Park et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 270 patients. Results: The primary endpoint was met with p=0.048. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC,R0058
R0185,30000036,10.1000/demo.2019.0036,Clinical immunotherapy chemotherapy targeted trial expression efficacy survival solid,Taylor et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 436 patients. Results: The primary endpoint was met with p=0.090. Conclusions: TF-X inhibition shows promise in CRC.,Europe PMC,R0036
R0202,30000053,10.1000/demo.2022.0053,Clinical phase trial patient chemotherapy survival treatment combination,Lee et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 294 patients. Results: The primary endpoint was met with p=0.095. Conclusions: TF-X inhibition shows promise in NSCLC.,Europe PMC,R0053
R0189,30000040,10.1000/demo.2023.0040,Safety expression chemotherapy efficacy resistance biomarker combination patient,Yoshida et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 410 patients. Results: The primary endpoint was met with p=0.086. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0040
R0193,30000044,10.1000/demo.2023.0044,Treatment malignancy pathway patient phase biomarker outcome inhibition analysis trial,Hall et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 400 patients. Results: The primary endpoint was met with p=0.017. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC,R0044
